epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,108.824,0.49992,0.35367,1.10371,0.99531,1,0.995,0.96802,0.28204,0.22391,0.90369,0.00139635,0.00139635,0.00139635
84,110.116,0.45502,0.32532,1.06387,0.99524,1,0.995,0.98181,0.28012,0.22801,0.89613,0.00139305,0.00139305,0.00139305
85,111.425,0.4418,0.32513,1.05496,0.99449,1,0.995,0.974,0.29155,0.2355,0.90961,0.00138974,0.00138974,0.00138974
86,112.715,0.42955,0.31494,1.05557,0.99583,1,0.995,0.9844,0.26032,0.22122,0.87245,0.00138644,0.00138644,0.00138644
87,114.025,0.47318,0.3426,1.10042,0.99195,1,0.995,0.98132,0.25932,0.22857,0.88199,0.00138314,0.00138314,0.00138314
88,115.321,0.46251,0.33385,1.10865,0.99039,1,0.995,0.978,0.23869,0.22874,0.85453,0.00137984,0.00137984,0.00137984
89,116.603,0.44721,0.32835,1.06324,0.98851,1,0.995,0.96343,0.27701,0.25966,0.89011,0.00137654,0.00137654,0.00137654
90,117.903,0.47466,0.33415,1.08239,0.97312,1,0.995,0.98257,0.25608,0.28196,0.88556,0.00137324,0.00137324,0.00137324
91,119.205,0.45423,0.31692,1.05525,0.98697,1,0.995,0.96206,0.27326,0.25905,0.90148,0.00136994,0.00136994,0.00136994
92,120.502,0.48129,0.34443,1.11422,0.99493,1,0.995,0.97588,0.27153,0.20676,0.88109,0.00136664,0.00136664,0.00136664
93,121.79,0.43549,0.30726,1.06245,0.99178,1,0.995,0.98039,0.29448,0.22409,0.89776,0.00136334,0.00136334,0.00136334
94,123.086,0.45281,0.32745,1.07844,0.98933,0.96667,0.99313,0.97884,0.30008,0.2729,0.91222,0.00136004,0.00136004,0.00136004
95,124.387,0.45685,0.35356,1.09843,0.9874,0.99927,0.995,0.96148,0.3207,0.2429,0.91969,0.00135674,0.00135674,0.00135674
96,125.678,0.42831,0.3236,1.0794,0.99618,1,0.995,0.98846,0.2776,0.19772,0.89127,0.00135344,0.00135344,0.00135344
97,126.981,0.44694,0.32107,1.07503,0.99581,1,0.995,0.97142,0.30507,0.23767,0.90272,0.00135014,0.00135014,0.00135014
